Title,Note,URL,Tags,Comment
אישיגאקי,,https://www.google.com/maps/place/%D7%90%D7%99%D7%A9%D7%99%D7%92%D7%90%D7%A7%D7%99%E2%80%AD/data=!4m2!3m1!1s0x345fe651c732eec7:0x28afd1619d6cc8c3,,
mipig cafe Harajuku,,https://www.google.com/maps/place/mipig+cafe+Harajuku/data=!4m2!3m1!1s0x60188d6e1852300f:0x47622339a1db23f,,
מקדש מייג'י,,https://www.google.com/maps/place/%D7%9E%D7%A7%D7%93%D7%A9+%D7%9E%D7%99%D7%99%D7%92'%D7%99%E2%80%AD/data=!4m2!3m1!1s0x60188cb79a4c26e5:0x8fca893849103f73,,
Kappabashi Kitchen Street,,https://www.google.com/maps/place/Kappabashi+Kitchen+Street/data=!4m2!3m1!1s0x60188e95e87e855d:0x214435b365c89bf3,,
Nakano Broadway,,https://www.google.com/maps/place/Nakano+Broadway/data=!4m2!3m1!1s0x6018f290b2ddee83:0xe1b67e4ee0eff0be,,
Ebisu,,https://www.google.com/maps/place/Ebisu/data=!4m2!3m1!1s0x60188b1478b71259:0x9c13a4023abcd309,,
Animate Akihabara,,https://www.google.com/maps/place/Animate+Akihabara/data=!4m2!3m1!1s0x60188c1d96fb5701:0x9276f70f9d512927,,
Akihabara Electric Town,,https://www.google.com/maps/place/Akihabara+Electric+Town/data=!4m2!3m1!1s0x60188c1d829dd5cd:0x772f5995da208987,,
Omoide Yokocho,,https://www.google.com/maps/place/Omoide+Yokocho/data=!4m2!3m1!1s0x60188cd7058ad73f:0x908f55935cc13cd3,,
Koenjikita,,https://www.google.com/maps/place/Koenjikita/data=!4m2!3m1!1s0x6018f27e0120fb6f:0x110d35cf03e05ac5,,
Chishi observation deck,,https://www.google.com/maps/place/Chishi+observation+deck/data=!4m2!3m1!1s0x34e553110a27fad3:0x9c5df69af15cbba7,,
Aharen Beach,,https://www.google.com/maps/place/Aharen+Beach/data=!4m2!3m1!1s0x34e55386255530cd:0xbe6f056644a27c62,,
Sanpo 2nd,,https://www.google.com/maps/place/Sanpo+2nd/data=!4m2!3m1!1s0x601bff65ab2f942b:0x394fa875c9c82a3d,,
Yoron,,https://www.google.com/maps/place/Yoron/data=!4m2!3m1!1s0x34e3f6235c4303a5:0x58135fa936660957,,
Jigokudani Yaen-Koen,,https://www.google.com/maps/place/Jigokudani+Yaen-Koen/data=!4m2!3m1!1s0x601df3ec4ca220cf:0xf64d8b73ef8dd61f,,
4 Madonne Caseificio dell'Emilia,,https://www.google.com/maps/place/4+Madonne+Caseificio+dell'Emilia/data=!4m2!3m1!1s0x477fee23b4151fab:0x19b7804b08ff38a1,,
Takachiho Gorge,,https://www.google.com/maps/place/Takachiho+Gorge/data=!4m2!3m1!1s0x35472cddfea5092f:0x58795d299dc91f8b,,
Togakushi-Jinja,,https://www.google.com/maps/place/Togakushi-Jinja/data=!4m2!3m1!1s0x5ff7856ba4a846a9:0x2ab70333f870faea,,
Shirogane Blue Pond (Aoiike),,https://www.google.com/maps/place/Shirogane+Blue+Pond+(Aoiike)/data=!4m2!3m1!1s0x5f0ccc62de222a6f:0x4cd181f9f4b779e,,
Shiretoko Peninsula,,https://www.google.com/maps/place/Shiretoko+Peninsula/data=!4m2!3m1!1s0x5f6cbb040fbfd225:0x1645a3bf10ae18ea,,
Nara Park,,https://www.google.com/maps/place/Nara+Park/data=!4m2!3m1!1s0x60013996bd8c6061:0xf96cacf357447456,,
Sakurai Futamigaura's Couple Stones,,https://www.google.com/maps/place/Sakurai+Futamigaura's+Couple+Stones/data=!4m2!3m1!1s0x3541eedd30a39875:0x47f9acaa88434d66,,
Ghibli Museum,,https://www.google.com/maps/place/Ghibli+Museum/data=!4m2!3m1!1s0x6018ee34e5038c2d:0x4de155903f849205,,
מקדש הכסף,,https://www.google.com/maps/place/%D7%9E%D7%A7%D7%93%D7%A9+%D7%94%D7%9B%D7%A1%D7%A3%E2%80%AD/data=!4m2!3m1!1s0x600109050b426fe1:0x258aca1ce888abc9,,
מקדש פושימי אינארי,להגיע מוקדם (6) בבוקר אחרת מיליון סינים,https://www.google.com/maps/place/%D7%9E%D7%A7%D7%93%D7%A9+%D7%A4%D7%95%D7%A9%D7%99%D7%9E%D7%99+%D7%90%D7%99%D7%A0%D7%90%D7%A8%D7%99%E2%80%AD/data=!4m2!3m1!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9,,
המקדש המוזהב,,https://www.google.com/maps/place/%D7%94%D7%9E%D7%A7%D7%93%D7%A9+%D7%94%D7%9E%D7%95%D7%96%D7%94%D7%91%E2%80%AD/data=!4m2!3m1!1s0x6001a820c0eb46bd:0xee4272b1c22645f,,
מגדל טוקיו,,https://www.google.com/maps/place/%D7%9E%D7%92%D7%93%D7%9C+%D7%98%D7%95%D7%A7%D7%99%D7%95%E2%80%AD/data=!4m2!3m1!1s0x60188bbd9009ec09:0x481a93f0d2a409dd,,
הארמון הקיסרי של טוקיו,,https://www.google.com/maps/place/%D7%94%D7%90%D7%A8%D7%9E%D7%95%D7%9F+%D7%94%D7%A7%D7%99%D7%A1%D7%A8%D7%99+%D7%A9%D7%9C+%D7%98%D7%95%D7%A7%D7%99%D7%95%E2%80%AD/data=!4m2!3m1!1s0x60188c0d02d8064d:0xd11a5f0b379e6db7,,
הקונה,,https://www.google.com/maps/place/%D7%94%D7%A7%D7%95%D7%A0%D7%94%E2%80%AD/data=!4m2!3m1!1s0x6019a20c60b2dc7b:0x2605bd17ac977b26,,
טאקאימה,,https://www.google.com/maps/place/%D7%98%D7%90%D7%A7%D7%90%D7%99%D7%9E%D7%94%E2%80%AD/data=!4m2!3m1!1s0x6002a342a14fc349:0xd4f2fb84f0b8e3dc,,
Kurobe Gorge Trolley Train,,https://www.google.com/maps/place/Kurobe+Gorge+Trolley+Train/data=!4m2!3m1!1s0x5ff7b115f45de33d:0x4c26667166b62ba,,
Kamikōchi,,https://www.google.com/maps/place/Kamik%C5%8Dchi/data=!4m2!3m1!1s0x601d0e9010f1c50b:0x9a6e421faf5c3807,,
Jordan World of Flight Tokyo Shibuya,,https://www.google.com/maps/place/Jordan+World+of+Flight+Tokyo+Shibuya/data=!4m2!3m1!1s0x60188dcac2aef56f:0xbb075eba548f0fcf,,
Hitachi Seaside Park,,https://www.google.com/maps/place/Hitachi+Seaside+Park/data=!4m2!3m1!1s0x60218b1d845e4441:0x767e1dea03e6f0e1,,
Shiraito Falls,,https://www.google.com/maps/place/Shiraito+Falls/data=!4m2!3m1!1s0x601bdaee0081ae4d:0x92a3a8ec3ba65a3,,
TOHO Cinemas Shinjuku,,https://www.google.com/maps/place/TOHO+Cinemas+Shinjuku/data=!4m2!3m1!1s0x60188cd82b4cf2ff:0x4e180e7a40fbffe8,,
Takaragawa Onsen Osenkaku,,https://www.google.com/maps/place/Takaragawa+Onsen+Osenkaku/data=!4m2!3m1!1s0x601e3dfdbe3914d5:0xe7aa52d74d33b2c4,,
teamLab Borderless: MORI Building DIGITAL ART MUSEUM,,https://www.google.com/maps/place/teamLab+Borderless:+MORI+Building+DIGITAL+ART+MUSEUM/data=!4m2!3m1!1s0x601889fad49a9443:0x5831aba3288d2651,,
Arashiyama,,https://www.google.com/maps/place/Arashiyama/data=!4m2!3m1!1s0x6001075451efd3e3:0xabaad64f597b014c,,
Cup Noodles Museum Osaka Ikeda,,https://www.google.com/maps/place/Cup+Noodles+Museum+Osaka+Ikeda/data=!4m2!3m1!1s0x6000f0c60f096aa7:0xe581ef01f49dbaa,,
KYOTO SAMURAI NINJA MUSEUM With Experience,,https://www.google.com/maps/place/KYOTO+SAMURAI+NINJA+MUSEUM+With+Experience/data=!4m2!3m1!1s0x600109354e510f97:0xe3b7993ed91b2e77,,
נארה,,https://www.google.com/maps/place/%D7%A0%D7%90%D7%A8%D7%94%E2%80%AD/data=!4m2!3m1!1s0x600137c578a70cc1:0x4afed9b0b9492622,,
Gujo Hachiman Castle,,https://www.google.com/maps/place/Gujo+Hachiman+Castle/data=!4m2!3m1!1s0x6002f015565f9291:0x2642da1224497ad2,,
